Comment,Designator,Footprint,LCSC Part #
100uF,"C2,C1",CP_Radial_D6.3mm_P2.50mm,C10850
10n,"C4,C7,C3,C8",0805,
100n,"C5,C6",0805,
100m,C9,,
Fuse,F1,FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165,
Barrel_Jack,J1,BarrelJack_Horizontal,C15178
Conn_01x03,J2,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,
Conn_01x04,"J4,J8,J3,J6,J5",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Conn_01x03,J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
Conn_01x24,"J10,J9",IDC-Header_2x12_P2.54mm_Vertical,
AO3401,"Q1,Q2",SOT-23,
10k,"R1,R5",0805,
1k,"R2,R7,R6,R3",0805,
2.7,"R8,R4",0805,
22,"R14,R11,R10,R18,R17,R13,R12,R9,R15,R16",,C3014177
SW_SPST,SW1,PinHeader_1x03_P2.54mm_Vertical,
DEVKIT_V1_ESP32-WROOM-32,U1,MODULE_DEVKIT_V1_ESP32-WROOM-32,
AO3400,"U2,U5",SOT-23,
CD4504BM,"U3,U4",SOIC-16_3.9x9.9mm_P1.27mm,C151885
